Month,Product,Units_Sold,Revenue
1,Camera,223,258509.56
1,Headphones,295,315565.12
1,Keyboard,299,322673.52
1,Laptop,297,284807.8
1,Monitor,105,81786.14
1,Mouse,266,323132.53
1,Printer,360,421290.55
1,Smartphone,296,321708.3
1,Tablet,316,313834.2
2,Camera,161,118401.73
2,Headphones,244,269758.24
2,Keyboard,238,214102.84
2,Laptop,176,185112.45
2,Monitor,249,263630.21
2,Mouse,238,177827.15
2,Printer,259,274169.52
2,Smartphone,256,250114.12
2,Tablet,180,144451.16999999998
3,Camera,320,304127.07
3,Headphones,401,346506.42000000004
3,Keyboard,249,204374.56
3,Laptop,244,226953.52000000002
3,Monitor,278,305497.06
3,Mouse,253,234906.09
3,Printer,210,197714.68
3,Smartphone,415,379521.38
3,Tablet,309,287459.13
